Trs_Id,Agency_Type_Desc,Institution_Type_Desc,Organization_Type_Desc,Fy_Month_Num,Fy_Day_Num,Fy_Year_Num,Company_Nm,Street1_Nm,Street2_Nm,City_Nm,State_Desc,Zip_Cd,Zip_4_Cd,Url_Cd,Ftavc_Cd,Logo_Cd,Service_Area,Service_Area_Population,Waiver_9_Req_Fl,Veh_Operated_Comment,Institutional_Structure_Desc,Other_Url_Cd,Po_Box,Other_Cap_Use_Comment_Desc,Other_Option_B_Comment_Desc,Voluntary_Reporter_Fl,Operate_FGW_MBDO_Fl,Operate_FGW_MBPT_Fl,DUNS Number
6108,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,5. Unit of County Government                                                                        ,                                                                                                                                                                                                        ,2,28,2009,"Harris County Community Services Department, Office of Transit Services                             ",8410 Lantern Point Drive                                                                            ,                                                                                                    ,Houston                            ,TX                  ,77054,1552,www.harriscountytransit.com                                                                         ,6691,Harris County Transit    ,200,"350,500",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,072206378
6109,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,5. Unit of County Government                                                                        ,                                                                                                                                                                                                        ,12,31,2009,St. Tammany Parish Government                                                                       ,21490 Koop Drive                                                                                    ,                                                                                                    ,Mandeville                         ,LA                  ,70471,    ,www.stpgov.org/gostat.php                                                                           ,5699,goSTAT                   ,"1,000","264,000",Y,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,929281053
6110,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,8,31,2009,Collin County Committee on Aging                                                                    ,600 North Tennessee                                                                                 ,                                                                                                    ,McKinney                           ,TX                  ,75070,    ,www.cccoaweb.org/ccart.html                                                                         ,6297,CCART                    ,20,"121,211",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,396       ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,799249672
6111,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,1. Independent Agency with an elected Board of Directors                                            ,                                                                                                                                                                                                        ,6,30,2009,Rio Metro Regional Transit District                                                                 ,809 Copper Avenue NW                                                                                ,                                                                                                    ,Albuquerque                        ,NM                  ,87102,    ,www.riometro.org                                                                                    ,6989,RMRTD                    ,657,"503,797",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,825882603
6112,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,12,31,2009,River Parishes Transit Authority                                                                    ,                                                                                                    ,                                                                                                    ,LaPlace                            ,LA                  ,70069,2444,www.rptarolls.org                                                                                   ,6651,RPTA                     ,759,"94,843",Y,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,2444      ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,N, ,N,192877210
7001,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,4. Unit of City or Municipal Government                                                             ,                                                                                                                                                                                                        ,8,31,2009,StarTran                                                                                            ,710 J Street                                                                                        ,                                                                                                    ,Lincoln                            ,NE                  ,68508,    ,www.lincoln.ne.gov/                                                                                 ,1896,                         ,90,"254,794",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,051259786
7002,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,12,31,2009,Transit Authority of Omaha                                                                          ,2222 Cuming Street                                                                                  ,                                                                                                    ,Omaha                              ,NE                  ,68102,4392,www.metroareatransit.com                                                                            ,1839,MAT                      ,178,"579,212",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,137920450
7003,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,4. Unit of City or Municipal Government                                                             ,                                                                                                                                                                                                        ,9,30,2009,City Utilities of Springfield                                                                       ,Transit Services                                                                                    ,1505 North Boonville Avenue                                                                         ,Springfield                        ,MO                  ,65803,    ,www.cityutilities.net                                                                               ,1828,The Bus                  ,82,"155,000",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,013120931
7005,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,12,31,2009,Kansas City Area Transportation Authority                                                           ,1200 East 18th Street                                                                               ,                                                                                                    ,Kansas City                        ,MO                  ,64108,    ,www.kcata.org                                                                                       ,1827,KCATA                    ,919,"1,445,584",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,Y,N,073046773
7006,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,6,30,2009,Bi-State Development Agency                                                                         ,707 North First Street                                                                              ,                                                                                                    ,St. Louis                          ,MO                  ,63102,    ,www.metrostlouis.org                                                                                ,1830,METRO                    ,449,"1,230,000",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,Y,N,006490569
7007,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,4. Unit of City or Municipal Government                                                             ,                                                                                                                                                                                                        ,6,30,2009,Bettendorf Transit System                                                                           ,1609 State Street                                                                                   ,                                                                                                    ,Bettendorf                         ,IA                  ,52722,    ,www.bettendorf.org/department/?fDD=22-0                                                             ,1818,BT                       ,22,"31,890",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,078098613
7008,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,4. Unit of City or Municipal Government                                                             ,                                                                                                                                                                                                        ,6,30,2009,Cedar Rapids Transit                                                                                ,427 8th St NW                                                                                       ,                                                                                                    ,Cedar Rapids                       ,IA                  ,52405,3801,www.cedar-rapids.org/transit/                                                                       ,1820,CRT                      ,22,"97,716",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,155786874
7009,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,4. Unit of City or Municipal Government                                                             ,                                                                                                                                                                                                        ,6,30,2009,Davenport Public Transit                                                                            ,226 West Fourth Street                                                                              ,                                                                                                    ,Davenport                          ,IA                  ,52801,    ,www.cityofdavenportiowa.com                                                                         ,1822,CITIBUS                  ,26,"98,900",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,020156857
7010,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,6,30,2009,Des Moines Area Regional Transit Authority                                                          ,1100 DART Way                                                                                       ,                                                                                                    ,Des Moines                         ,IA                  ,50309,4530,www.ridedart.com                                                                                    ,1831,DART                     ,141,"369,143",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,078072675
7011,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,4. Unit of City or Municipal Government                                                             ,                                                                                                                                                                                                        ,6,30,2009,City of Dubuque                                                                                     ,2401 Central Avenue                                                                                 ,                                                                                                    ,Dubuque                            ,IA                  ,52001,3302,http://www.cityofdubuque.org                                                                        ,1832,KeyLine                  ,26,"58,000",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,093105302
7012,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,4. Unit of City or Municipal Government                                                             ,                                                                                                                                                                                                        ,6,30,2009,Sioux City Transit System                                                                           ,2505 Fourth Street                                                                                  ,                                                                                                    ,Sioux City                         ,IA                  ,51102,0447,www.sioux-city.org/dept/index.asp?deptnum=22                                                        ,1836,SCTS                     ,51,"102,798",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,447       ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,161922174
7013,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,6,30,2009,Metropolitan Transit Authority of Black Hawk County                                                 ,1515 Black Hawk Street                                                                              ,                                                                                                    ,Waterloo                           ,IA                  ,50702,    ,www.mettransit.org/                                                                                 ,1837,MET Transit              ,89,"109,418",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,062765219
7014,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,2. Independent Agency with an appointed Board of Directors                                          ,                                                                                                                                                                                                        ,6,30,2009,Topeka Metropolitan Transit Authority                                                               ,201 North Kansas Avenue                                                                             ,                                                                                                    ,Topeka                             ,KS                  ,66603,3622,www.TopekaTransit.com                                                                               ,1823,Topeka Transit - TMTA    ,58,"122,377",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,067933390
7015,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,4. Unit of City or Municipal Government                                                             ,                                                                                                                                                                                                        ,12,31,2009,Wichita Transit                                                                                     ,777 East Waterman                                                                                   ,                                                                                                    ,Wichita                            ,KS                  ,67202,    ,www.wichita.gov                                                                                     ,1824,WT                       ,149,"386,046",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,043063460
7016,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,4. Unit of City or Municipal Government                                                             ,                                                                                                                                                                                                        ,9,30,2009,Columbia Transit                                                                                    ,701 East Broadway                                                                                   ,                                                                                                    ,Columbia                           ,MO                  ,65205,6015,www.gocolumbiamo.com/PublicWorks/Transportation                                                     ,1825,CT                       ,30,"57,000",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,6015      ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,071989024
7018,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,4. Unit of City or Municipal Government                                                             ,                                                                                                                                                                                                        ,6,30,2009,Iowa City Transit                                                                                   ,410 East Washington Street                                                                          ,                                                                                                    ,Iowa City                          ,IA                  ,52240,1825,www.icgov.org                                                                                       ,1833,ICT                      ,25,"67,026",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,145409996
7019,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,8. Other(Describe)                                                                                  ,                                                                                                                                                                                                        ,6,30,2009,University of Iowa                                                                                  ,100 Cambus Office                                                                                   ,                                                                                                    ,Iowa City                          ,IA                  ,52242,1000,www.uiowa.edu/~cambus/                                                                              ,1835,Cambus                   ,30,"71,372",N,                                                                                                                                                                                                        ,State University - University of Iowa                                                                                                                                                                   ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,062761671
7030,2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ,4. Unit of City or Municipal Government                                                             ,                                                                                                                                                                                                        ,6,30,2009,Coralville Transit System                                                                           ,1512 7th St.                                                                                        ,                                                                                                    ,Coralville                         ,IA                  ,52241,0127,www.coralville.org                                                                                  ,1834,CTS                      ,11,"17,811",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,5127      ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,080289036
7032,1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ,4. Unit of City or Municipal Government                                                             ,                                                                                                                                                                                                        ,6,30,2009,St. Joseph Transit                                                                                  ,702 South 5th Street                                                                                ,                                                                                                    ,St. Joseph                         ,MO                  ,64501,    ,www.stjoemo.info/publicworks/transit.cfm                                                            ,1897,The Ride                 ,49,"73,990",N,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,030656144
